Date,Value,Policy rate
2013-01-31,30.082608695652173,2.75
2013-02-28,29.7935,2.75
2013-03-31,29.50238095238095,2.75
2013-04-30,29.04090909090909,2.75
2013-05-31,29.696521739130436,2.5
2013-06-30,30.778,2.5
2013-07-31,31.063913043478262,2.5
2013-08-31,31.51681818181818,2.5
2013-09-30,31.675238095238093,2.5
2013-10-31,31.176521739130436,2.5
2013-11-30,31.583333333333332,2.25
2013-12-31,32.33136363636363,2.25
2014-01-31,32.89173913043478,2.25
2014-02-28,32.6015,2.25
2014-03-31,32.36190476190476,2.0
2014-04-30,32.28545454545454,2.0
2014-05-31,32.48863636363637,2.0
2014-06-30,32.489999999999995,2.0
2014-07-31,32.098260869565216,2.0
2014-08-31,32.00666666666667,2.0
2014-09-30,32.152727272727276,2.0
2014-10-31,32.426086956521736,2.0
2014-11-30,32.7595,2.0
2014-12-31,32.87695652173913,2.0
2015-01-31,32.73818181818182,2.0
2015-02-28,32.579,2.0
2015-03-31,32.60636363636364,1.75
2015-04-30,32.48954545454546,1.5
2015-05-31,33.485238095238095,1.5
2015-06-30,33.70136363636363,1.5
2015-07-31,34.2804347826087,1.5
2015-08-31,35.36571428571429,1.5
2015-09-30,35.99818181818182,1.5
2015-10-31,35.708636363636366,1.5
2015-11-30,35.77285714285714,1.5
2015-12-31,35.98869565217392,1.5
2016-01-31,36.14142857142857,1.5
2016-02-29,35.59428571428572,1.5
2016-03-31,35.21739130434783,1.5
2016-04-30,35.07476190476191,1.5
2016-05-31,35.39272727272727,1.5
2016-06-30,35.280454545454546,1.5
2016-07-31,35.055238095238096,1.5
2016-08-31,34.720000000000006,1.5
2016-09-30,34.71454545454546,1.5
2016-10-31,35.03190476190476,1.5
2016-11-30,35.33659090909091,1.5
2016-12-31,35.78454545454545,1.5
2017-01-31,35.483636363636364,1.5
2017-02-28,35.0195,1.5
2017-03-31,34.88695652173913,1.5
2017-04-30,34.440999999999995,1.5
2017-05-31,34.47,1.5
2017-06-30,33.99886363636364,1.5
2017-07-31,33.74809523809524,1.5
2017-08-31,33.25739130434783,1.5
2017-09-30,33.14214285714286,1.5
2017-10-31,33.23318181818182,1.5
2017-11-30,32.92977272727273,1.5
2017-12-31,32.64857142857143,1.5
2018-01-31,31.972608695652173,1.5
2018-02-28,31.484500000000004,1.5
2018-03-31,31.287045454545456,1.5
2018-04-30,31.292380952380952,1.5
2018-05-31,31.94760869565217,1.5
2018-06-30,32.44119047619048,1.5
2018-07-31,33.254318181818185,1.5
2018-08-31,33.03978260869565,1.5
2018-09-30,32.607749999999996,1.5
2018-10-31,32.742826086956526,1.5
2018-11-30,32.96477272727273,1.5
2018-12-31,32.73285714285714,1.5
2019-01-31,31.8454347826087,1.75
2019-02-28,31.290499999999998,1.75
2019-03-31,31.725238095238097,1.75
2019-04-30,31.84272727272727,1.75
2019-05-31,31.817391304347826,1.75
2019-06-30,31.1455,1.75
2019-07-31,30.805434782608696,1.75
2019-08-31,30.781818181818185,1.5
2019-09-30,30.57452380952381,1.5
2019-10-31,30.379782608695653,1.5
2019-11-30,30.250238095238096,1.25
2019-12-31,30.22681818181818,1.25
2020-01-31,30.390434782608697,1.25
2020-02-29,31.322249999999997,1.0
2020-03-31,32.052727272727275,0.75
2020-04-30,32.64772727272727,0.75
2020-05-31,32.11571428571429,0.5
2020-06-30,31.201818181818183,0.5
2020-07-31,31.40304347826087,0.5
2020-08-31,31.216190476190473,0.5
2020-09-30,31.35181818181818,0.5
2020-10-31,31.272954545454546,0.5
2020-11-30,30.490476190476187,0.5
2020-12-31,30.090869565217393,0.5
2021-01-31,30.007142857142856,0.5
2021-02-28,29.99,0.5
2021-03-31,30.75108695652174,0.5
2021-04-30,31.33409090909091,0.5
2021-05-31,31.275714285714283,0.5
2021-06-30,31.405909090909088,0.5
2021-07-31,32.60727272727273,0.5
2021-08-31,33.12295454545455,0.5
2021-09-30,33.01681818181818,0.5
2021-10-31,33.4697619047619,0.5
2021-11-30,33.074999999999996,0.5
2021-12-31,33.57521739130435,0.5
2022-01-31,33.22261904761905,0.5
2022-02-28,32.665499999999994,0.5
2022-03-31,33.22239130434782,0.5
2022-04-30,33.75476190476191,0.5
2022-05-31,34.402727272727276,0.5
2022-06-30,34.89727272727273,0.5
2022-07-31,36.31238095238095,0.5
2022-08-31,35.83891304347826,0.75
2022-09-30,36.97409090909091,1.0
2022-10-31,37.91809523809523,1.0
2022-11-30,36.468636363636364,1.25
2022-12-31,34.8025,1.25
2023-01-31,33.32386363636363,1.5
2023-02-28,33.964999999999996,1.5
2023-03-31,34.51913043478261,1.75
2023-04-30,34.23375,1.75
2023-05-31,34.20195652173913,2.0
2023-06-30,34.88159090909091,2.0
2023-07-31,34.64833333333333,2.0
2023-08-31,35.00521739130435,2.25
2023-09-30,35.799523809523805,2.5
2023-10-31,36.503409090909095,2.5
2023-11-30,35.4775,2.5
2023-12-31,35.004285714285714,2.5
2024-01-31,35.133043478260866,2.5
2024-02-29,35.852380952380955,2.5
