Date,Value
25/10/2022,38.2100
24/10/2022,38.0500
21/10/2022,38.2000
20/10/2022,38.3000
19/10/2022,38.0700
18/10/2022,38.0800
17/10/2022,38.2800
14/10/2022,38.0200
13/10/2022,37.8900
12/10/2022,38.0900
11/10/2022,37.9900
10/10/2022,37.5900
7/10/2022,37.3280
6/10/2022,37.4400
5/10/2022,37.4060
4/10/2022,37.7960
3/10/2022,37.8230
30/9/2022,37.8620
29/9/2022,37.9100
28/9/2022,37.9700
27/9/2022,37.9490
26/9/2022,37.5800
23/9/2022,37.3700
22/9/2022,37.2100
21/9/2022,36.9800
20/9/2022,36.9000
19/9/2022,36.8000
16/9/2022,36.9400
15/9/2022,36.6300
14/9/2022,36.6000
13/9/2022,36.2680
12/9/2022,36.3700
9/9/2022,36.4100
8/9/2022,36.5200
7/9/2022,36.6880
6/9/2022,36.5400
5/9/2022,36.7300
2/9/2022,36.7680
1/9/2022,36.6220
31/8/2022,36.4390
30/8/2022,36.3200
29/8/2022,36.2900
26/8/2022,35.8100
25/8/2022,36.0570
24/8/2022,36.0450
23/8/2022,36.1200
22/8/2022,35.7850
19/8/2022,35.6300
18/8/2022,35.4800
17/8/2022,35.3730
16/8/2022,35.5390
15/8/2022,35.3000
12/8/2022,35.2000
11/8/2022,35.3200
10/8/2022,35.3300
9/8/2022,35.5300
8/8/2022,35.7500
5/8/2022,35.8200
4/8/2022,36.2400
3/8/2022,36.2030
2/8/2022,36.1030
1/8/2022,36.2930
29/7/2022,36.3850
28/7/2022,36.6370
27/7/2022,36.6980
26/7/2022,36.6560
25/7/2022,36.6390
22/7/2022,36.7520
21/7/2022,36.6650
20/7/2022,36.5730
19/7/2022,36.6900
18/7/2022,36.5600
15/7/2022,36.5300
14/7/2022,36.2320
13/7/2022,36.1960
12/7/2022,36.2320
11/7/2022,35.8600
8/7/2022,36.0710
7/7/2022,36.1550
6/7/2022,35.9680
5/7/2022,35.7030
4/7/2022,35.5800
1/7/2022,35.3240
30/6/2022,35.0780
29/6/2022,35.1600
28/6/2022,35.3590
27/6/2022,35.4500
24/6/2022,35.4840
23/6/2022,35.3500
22/6/2022,35.2850
21/6/2022,35.3300
20/6/2022,35.2210
17/6/2022,35.0060
16/6/2022,34.8360
15/6/2022,35.0300
14/6/2022,34.8430
13/6/2022,34.8010
10/6/2022,34.5540
9/6/2022,34.4890
8/6/2022,34.4060
7/6/2022,34.4300
6/6/2022,34.3400
3/6/2022,34.2370
2/6/2022,34.3630
1/6/2022,34.2320
